Kind,Name,AvgCountLineBlank,AvgCountLineComment,AvgCountLineCode,AvgCyclomatic,CountDeclFunction,MaxCyclomatic,CountClassCoupled
Class,"GPT0COT.AccessGatewayFilter",0,0,4,2,,3,2
Module File,"GPT0COT.py",0,0,4,2,5,3,
Class,"GPT0COTFewShot.AccessGatewayFilter",0,0,4,2,,3,3
Module File,"GPT0COTFewShot.py",0,0,4,2,5,3,
Class,"GPT0FewShot.AccessGatewayFilter",0,6,4,2,,3,2
Module File,"GPT0FewShot.py",0,6,4,2,5,3,
Class,"GPT0ZeroShot.AccessGatewayFilter",1,5,7,2,,4,1
Module File,"GPT0ZeroShot.py",1,5,7,2,5,4,
Class,"GPT10COT.BinaryDataProcessor",0,0,5,1,,2,3
Module File,"GPT10COT.py",0,0,5,1,5,2,
Class,"GPT10COTFewShot.BinaryDataProcessor",0,0,4,1,,3,4
Module File,"GPT10COTFewShot.py",0,0,4,1,5,3,
Class,"GPT10FewShot.BinaryDataProcessor",0,5,5,1,,1,2
Module File,"GPT10FewShot.py",0,5,5,1,5,1,
Class,"GPT10ZeroShot.BinaryDataProcessor",0,4,6,2,,3,2
Module File,"GPT10ZeroShot.py",0,4,6,2,5,3,
Class,"GPT11COT.BitStatusUtil",0,0,4,2,,4,1
Module File,"GPT11COT.py",0,0,4,2,4,4,
Class,"GPT11COTFewShot.BitStatusUtil",0,0,3,2,,3,1
Module File,"GPT11COTFewShot.py",0,0,3,2,4,3,
Class,"GPT11FewShot.BitStatusUtil",0,10,4,2,,4,1
Module File,"GPT11FewShot.py",0,10,4,2,4,4,
Class,"GPT11ZeroShot.BitStatusUtil",0,5,4,1,,2,1
Module File,"GPT11ZeroShot.py",0,5,4,1,4,2,
Class,"GPT12COT.BlackjackGame",1,0,10,3,,6,1
Module File,"GPT12COT.py",1,0,10,3,4,6,
Class,"GPT12COTFewShot.BlackjackGame",0,0,9,3,,5,1
Module File,"GPT12COTFewShot.py",0,0,9,3,4,5,
Class,"GPT12FewShot.BlackjackGame",2,10,9,3,,6,1
