Class,AreaCalculator.AreaCalculator,1,12,13,,CYCLOMATIC,COMMENT,CODE
Class,ArgumentParser.ArgumentParser,5,15,33,,3,15,32
Class,ArrangementCalculator.ArrangementCalculator,2,8,27,,,,
Class,AssessmentSystem.AssessmentSystem,4,32,48,,,,
Class,AutomaticGuitarSimulator.AutomaticGuitarSimulator,6,21,26,,,,
Class,BinaryDataProcessor.BinaryDataProcessor,3,13,32,,,,
Class,BitStatusUtil.BitStatusUtil,3,8,22,,,,
Class,BlackjackGame.BlackjackGame,8,21,49,,,,
Class,BookManagementDB.BookManagementDB,1,22,54,,,,
Class,BoyerMooreSearch.BoyerMooreSearch,3,13,27,,,,
Class,CSVProcessor.CSVProcessor,4,27,35,,,,
Class,Calculator.Calculator,7,11,56,,,,
Class,CalendarUtil.CalendarUtil,3,13,29,,,,
Class,CamelCaseMap.CamelCaseMap,1,9,20,,,,
Class,ChandrasekharSieve.ChandrasekharSieve,4,6,12,,,,
Class,Chat.Chat,3,13,37,,,,
Class,ClassRegistrationSystem.ClassRegistrationSystem,5,17,36,,,,
Class,ClassRegistrationSystem.Classroom,2,11,17,,,,
Class,CombinationCalculator.CombinationCalculator,3,11,32,,,,
Class,CookiesUtil.CookiesUtil,2,13,22,,,,
Class,Course.Classroom,7,37,50,,,,
Class,Course.Course,1,3,5,,,,
Class,CurrencyConverter.CurrencyConverter,2,16,27,,,,
Class,DataStatistics.DataStatistics,2,11,15,,,,
Class,DataStatistics4.DataStatistics4,1,17,30,,,,
Class,DatabaseProcessor.DatabaseProcessor,3,22,40,,,,
Class,DecryptionUtils.DecryptionUtils,7,42,60,,,,
Class,DiscountStrategy.Customer,1,0,3,,,,
Class,DiscountStrategy.DiscountStrategy,4,9,43,,,,
Class,DiscountStrategy.Item,1,0,5,,,,
Class,DocFileHandler.DocFileHandler,3,6,36,,,,
Class,EmailClient.EmailClient,3,14,35,,,,
Class,EncryptionUtils.EncryptionUtils,6,28,36,,,,
Class,ExcelProcessor.ExcelProcessor,5,27,38,,,,
Class,ExpressionCalculator.ExpressionCalculator,8,22,60,,,,
Class,FitnessTracker.FitnessTracker,5,39,36,,,,
Class,HRManagementSystem.HRManagementSystem,2,14,33,,,,
Class,Hotel.Hotel,6,40,42,,,,
Class,HtmlUtil.HtmlUtil,2,15,26,,,,
Class,IPAddress.IPAddress,6,15,26,,,,
Class,Interpolation.Interpolation,6,25,46,,,,
Class,IpUtil.IpUtil,2,21,22,,,,
Class,JobMarketplace.JobMarketplace,5,49,50,,,,
Class,KappaCalculator.KappaCalculator,1,16,15,,,,
Class,LongestWord.LongestWord,3,9,15,,,,
Class,MahjongConnect.MahjongConnect,6,20,44,,,,
Class,Manacher.Manacher,3,25,21,,,,
Class,MetricsCalculator.MetricsCalculator,5,14,35,,,,
Class,MetricsCalculator2.MetricsCalculator2,9,38,54,,,,
Class,MinesweeperGame.MinesweeperGame,8,10,44,,,,
Class,MovieBookingSystem.MovieBookingSystem,6,16,29,,,,
Class,MovieTicketDB.MovieTicketDB,1,15,38,,,,
Class,MusicPlayer.MusicPlayer,4,13,69,,,,
Class,NLPDataProcessor.NLPDataProcessor,2,20,15,,,,
Class,NumberWordFormatter.NumberWordFormatter,5,22,57,,,,
Class,NumericEntityUnescaper.NumericEntityUnescaper,1,12,9,,,,
Class,Order.Order,3,12,22,,,,
Class,PageUtil.PageUtil,1,8,25,,,,
Class,PushBoxGame.PushBoxGame,6,32,48,,,,
Class,RPGCharacter.RPGCharacter,2,16,29,,,,
Class,RegexUtils.RegexUtils,1,25,21,,,,
Class,SQLGenerator.SQLGenerator,3,25,36,,,,
Class,SQLQueryBuilder.SQLQueryBuilder,2,19,28,,,,
Class,Server.Server,3,33,40,,,,
Class,ShoppingCart.ShoppingCart,3,14,23,,,,
Class,Snake.Snake,8,26,47,,,,
Class,SplitSentence.SplitSentence,3,11,17,,,,
Class,Statistics3.Statistics3,3,23,40,,,,
Class,Stock.Stock,1,3,5,,,,
Class,Stock.StockPortfolioTracker,4,65,52,,,,
Class,StudentDatabaseProcessor.StudentDatabaseProcessor,1,14,37,,,,
Class,TextFileProcessor.TextFileProcessor,2,13,20,,,,
Class,Thermostat.Thermostat,4,10,39,,,,
Class,TimeUtils.TimeUtils,1,20,24,,,,
Class,TriCalculator.TriCalculator,2,37,29,,,,
Class,TwentyFourPointGame.TwentyFourPointGame,2,10,20,,,,
Class,URLHandler.URLHandler,1,7,13,,,,
Class,UrlPath.UrlPath,3,14,26,,,,
Class,UserLoginDB.UserLoginDB,2,14,27,,,,
Class,VectorUtil.VectorUtil,2,30,26,,,,
Class,VendingMachine.VendingMachine,4,54,41,,,,
Class,Warehouse.Warehouse,2,52,37,,,,
Class,WeatherSystem.WeatherSystem,5,6,28,,,,
Class,Words2Numbers.Words2Numbers,7,28,52,,,,
Class,XMLProcessor.XMLProcessor,3,11,32,,,,
