Kind,Name,MaxCyclomatic,MaxNesting,RatioCommentToCode,CountClassCoupled,CountDeclMethod,CountLineBlank,CountLineCode,CountLineComment
Class,"AccessGatewayFilter.AccessGatewayFilter",4,2,0.79,1,5,7,33,26
Function,"AccessGatewayFilter.AccessGatewayFilter.__init__",,0,0.67,,,0,3,2
Function,"AccessGatewayFilter.AccessGatewayFilter.filter",,1,0.88,,,2,8,7
Function,"AccessGatewayFilter.AccessGatewayFilter.get_jwt_user",,1,0.50,,,1,12,6
Function,"AccessGatewayFilter.AccessGatewayFilter.is_start_with",,2,0.83,,,0,6,5
Function,"AccessGatewayFilter.AccessGatewayFilter.set_current_user_info_and_log",,0,2.00,,,0,3,6
Module File,"AccessGatewayFilter.py",4,2,0.78,,,8,36,28
Class,"AreaCalculator.AreaCalculator",1,0,1.23,0,6,5,13,16
Class,"AreaCalculator.AreaCalculator",1,0,1.00,0,6,5,18,18
Class,"AreaCalculator.AreaCalculator",1,0,3.71,0,6,6,14,52
Function,"AreaCalculator.AreaCalculator.__init__",,0,1.00,,,0,2,2
Function,"AreaCalculator.AreaCalculator.__init__",,0,0.50,,,0,2,1
Function,"AreaCalculator.AreaCalculator.__init__",,0,2.00,,,0,2,4
Function,"AreaCalculator.AreaCalculator.calculate_annulus_area",,0,2.00,,,0,2,4
Function,"AreaCalculator.AreaCalculator.calculate_annulus_area",,0,0.67,,,0,3,2
Function,"AreaCalculator.AreaCalculator.calculate_annulus_area",,0,4.50,,,0,2,9
Function,"AreaCalculator.AreaCalculator.calculate_circle_area",,0,1.00,,,0,2,2
Function,"AreaCalculator.AreaCalculator.calculate_circle_area",,0,0.67,,,0,3,2
Function,"AreaCalculator.AreaCalculator.calculate_circle_area",,0,3.50,,,0,2,7
Function,"AreaCalculator.AreaCalculator.calculate_cylinder_area",,0,1.50,,,0,2,3
Function,"AreaCalculator.AreaCalculator.calculate_cylinder_area",,0,0.67,,,0,3,2
Function,"AreaCalculator.AreaCalculator.calculate_cylinder_area",,0,4.00,,,0,2,8
Function,"AreaCalculator.AreaCalculator.calculate_sector_area",,0,1.50,,,0,2,3
Function,"AreaCalculator.AreaCalculator.calculate_sector_area",,0,1.00,,,0,3,3
Function,"AreaCalculator.AreaCalculator.calculate_sector_area",,0,3.00,,,0,3,9
Function,"AreaCalculator.AreaCalculator.calculate_sphere_area",,0,1.00,,,0,2,2
Function,"AreaCalculator.AreaCalculator.calculate_sphere_area",,0,0.67,,,0,3,2
Function,"AreaCalculator.AreaCalculator.calculate_sphere_area",,0,3.50,,,0,2,7
Module File,"AreaCalculator.py",1,0,1.14,,,7,14,16
Module File,"AreaCalculator.py",1,0,0.95,,,6,19,18
Module File,"AreaCalculator.py",1,0,3.47,,,7,15,52
Class,"ArrangementCalculator.ArrangementCalculator",4,1,0.00,3,6,5,37,0
Class,"ArrangementCalculator.ArrangementCalculator",4,2,0.21,2,6,5,38,8
Class,"ArrangementCalculator.ArrangementCalculator",2,1,1.73,3,6,6,26,45
Function,"ArrangementCalculator.ArrangementCalculator.__init__",,0,0.00,,,0,2,0
Function,"ArrangementCalculator.ArrangementCalculator.__init__",,0,0.50,,,0,2,1
Function,"ArrangementCalculator.ArrangementCalculator.__init__",,0,2.00,,,0,2,4
Function,"ArrangementCalculator.ArrangementCalculator.count",,1,0.00,,,0,9,0
Function,"ArrangementCalculator.ArrangementCalculator.count",,1,0.50,,,0,4,2
Function,"ArrangementCalculator.ArrangementCalculator.count",,1,2.25,,,0,4,9
Function,"ArrangementCalculator.ArrangementCalculator.count_all",,1,0.00,,,0,5,0
Function,"ArrangementCalculator.ArrangementCalculator.count_all",,1,0.20,,,0,5,1
Function,"ArrangementCalculator.ArrangementCalculator.count_all",,1,1.60,,,0,5,8
Function,"ArrangementCalculator.ArrangementCalculator.factorial",,1,0.00,,,0,5,0
Function,"ArrangementCalculator.ArrangementCalculator.factorial",,1,0.20,,,0,5,1
Function,"ArrangementCalculator.ArrangementCalculator.factorial",,0,3.00,,,0,2,6
Function,"ArrangementCalculator.ArrangementCalculator.select",,1,0.00,,,0,7,0
Function,"ArrangementCalculator.ArrangementCalculator.select",,1,0.15,,,0,13,2
Function,"ArrangementCalculator.ArrangementCalculator.select",,1,2.00,,,0,4,8
