Kind,Name,MaxCyclomatic,MaxNesting,RatioCommentToCode,CountClassCoupled,CountDeclMethod,CountLineBlank,CountLineCode,CountLineComment,,MaxCyclomatic,MaxNesting,RatioCommentToCode,CountClassCoupled,CountDeclMethod,CountLineBlank,CountLineCode,CountLineComment
Class,AccessGatewayFilter.AccessGatewayFilter,4,2,0.79,1,5,7,33,26,,3,1,0.39,1,5,5,27,9
Class,AreaCalculator.AreaCalculator,1,0,1.23,0,6,5,13,16,,,,,,,,,
Class,AreaCalculator.AreaCalculator,1,0,1,0,6,5,18,18,,,,,,,,,
Class,AreaCalculator.AreaCalculator,1,0,3.71,0,6,6,14,52,,,,,,,,,
Class,ArrangementCalculator.ArrangementCalculator,4,1,0,3,6,5,37,0,,,,,,,,,
Class,ArrangementCalculator.ArrangementCalculator,4,2,0.21,2,6,5,38,8,,,,,,,,,
Class,ArrangementCalculator.ArrangementCalculator,2,1,1.73,3,6,6,26,45,,,,,,,,,
Class,AvgPartition.AvgPartition,2,1,0.33,1,3,4,15,5,,,,,,,,,
Class,AvgPartition.AvgPartition,2,1,0.65,2,3,2,17,11,,,,,,,,,
Class,AvgPartition.AvgPartition,2,1,1.87,1,3,3,15,28,,,,,,,,,
Class,AvgPartition.AvgPartition,2,1,0.59,2,3,7,17,10,,,,,,,,,
Class,BalancedBrackets.BalancedBrackets,6,3,0.14,0,3,2,21,3,,,,,,,,,
Class,BalancedBrackets.BalancedBrackets,6,3,0.4,0,3,2,20,8,,,,,,,,,
Class,BalancedBrackets.BalancedBrackets,5,3,1.59,0,3,5,17,27,,,,,,,,,
Class,BalancedBrackets.BalancedBrackets,5,3,0.53,0,3,4,15,8,,,,,,,,,
Class,BankAccount.BankAccount,3,1,1.16,1,5,5,25,29,,,,,,,,,
Class,BankAccount.BankAccount,3,1,0.88,1,5,4,25,22,,,,,,,,,
Class,BigNumCalculator.BigNumCalculator,1,0,0.47,2,3,8,19,9,,,,,,,,,
Class,BigNumCalculator.BigNumCalculator,1,0,0.47,2,3,8,19,9,,,,,,,,,
Class,BigNumCalculator.BigNumCalculator,1,0,0.63,2,3,9,19,12,,,,,,,,,
Class,BigNumCalculator.BigNumCalculator,2,1,1.23,2,3,2,13,16,,,,,,,,,
Class,BinaryDataProcessor.BinaryDataProcessor,3,1,0,3,5,4,21,0,,,,,,,,,
Class,BinaryDataProcessor.BinaryDataProcessor,3,1,0.92,3,5,10,25,23,,,,,,,,,
Class,BinaryDataProcessor.BinaryDataProcessor,3,1,0.62,3,5,7,21,13,,,,,,,,,
Class,BitStatusUtil.BitStatusUtil,3,2,0.39,1,4,6,18,7,,,,,,,,,
Class,BitStatusUtil.BitStatusUtil,4,2,0.35,1,4,6,20,7,,,,,,,,,
Class,BookManagement.BookManagement,5,1,0.48,3,5,10,25,12,,,,,,,,,
Class,BookManagementDB.BookManagementDB,1,0,0,0,7,6,42,0,,,,,,,,,
Class,BookManagementDB.BookManagementDB,1,0,1.84,0,7,7,37,68,,,,,,,,,
Class,ChandrasekharSieve.ChandrasekharSieve,4,3,0.07,3,3,2,14,1,,,,,,,,,
Class,ChandrasekharSieve.ChandrasekharSieve,4,3,0.07,3,3,2,14,1,,,,,,,,,
Class,ChandrasekharSieve.ChandrasekharSieve,4,3,1.29,2,3,5,14,18,,,,,,,,,
Class,ComplexCalculator.ComplexCalculator,2,1,0,1,5,4,17,0,,,,,,,,,
Class,ComplexCalculator.ComplexCalculator,2,1,0,1,5,4,17,0,,,,,,,,,
Class,ComplexCalculator.ComplexCalculator,2,1,0.76,1,5,5,17,13,,,,,,,,,
Class,ComplexCalculator.ComplexCalculator,2,1,0.91,2,5,15,34,31,,,,,,,,,
Class,CurrencyConverter.CurrencyConverter,2,1,0,1,5,4,30,0,,,,,,,,,
Class,DataStatistics.DataStatistics,1,0,0,0,3,2,10,0,,,,,,,,,
Class,DataStatistics.DataStatistics,1,0,0,0,3,2,11,0,,,,,,,,,
Class,DataStatistics.DataStatistics,3,1,0.88,0,3,14,24,21,,,,,,,,,
Class,DataStatistics2.DataStatistics2,1,0,0,1,7,6,15,0,,,,,,,,,
Class,DataStatistics2.DataStatistics2,1,0,0,1,7,6,15,0,,,,,,,,,
Class,DataStatistics2.DataStatistics2,1,0,0.8,0,7,7,15,12,,,,,,,,,
Class,DataStatistics2.DataStatistics2,4,1,0.95,5,7,6,21,20,,,,,,,,,
Class,DocFileHandler.DocFileHandler,4,3,0,2,6,5,52,0,,,,,,,,,
Class,DocFileHandler.DocFileHandler,4,3,0.79,4,6,15,52,41,,,,,,,,,
Class,EightPuzzle.EightPuzzle,5,3,0,4,5,4,49,0,,,,,,,,,
Class,EightPuzzle.EightPuzzle,5,3,1.32,1,5,19,47,62,,,,,,,,,
Class,EightPuzzle.EightPuzzle,5,3,0.5,4,5,14,48,24,,,,,,,,,
Class,EncryptionUtils.EncryptionUtils,6,2,0,1,4,3,42,0,,,,,,,,,
Class,EncryptionUtils.EncryptionUtils,7,2,1.18,0,4,16,50,59,,,,,,,,,
Class,FitnessTracker.FitnessTracker,7,2,0,0,4,3,40,0,,,,,,,,,
Class,FitnessTracker.FitnessTracker,7,2,0,0,4,3,40,0,,,,,,,,,
Class,FitnessTracker.FitnessTracker,4,1,0.97,0,4,8,33,32,,,,,,,,,
Class,GomokuGame.GomokuGame,6,5,0,1,4,3,33,0,,,,,,,,,
Class,GomokuGame.GomokuGame,6,5,0,1,4,3,37,0,,,,,,,,,
Class,GomokuGame.GomokuGame,6,5,1.17,1,4,4,36,42,,,,,,,,,
Class,GomokuGame.GomokuGame,6,5,0.46,1,4,3,35,16,,,,,,,,,
Class,ImageProcessor.ImageProcessor,2,1,0,0,6,5,18,0,,,,,,,,,
Class,ImageProcessor.ImageProcessor,2,1,0,1,6,5,26,0,,,,,,,,,
Class,ImageProcessor.ImageProcessor,3,2,0.22,1,6,6,41,9,,,,,,,,,
Class,ImageProcessor.ImageProcessor,2,1,0.21,1,6,5,29,6,,,,,,,,,
Class,Interpolation.Interpolation,5,4,0,2,3,2,34,0,,,,,,,,,
Class,IPAddress.IPAddress,5,2,0,1,4,3,27,0,,,,,,,,,
Class,IPAddress.IPAddress,5,2,0,1,4,3,25,0,,,,,,,,,
Class,IPAddress.IPAddress,5,2,1.38,1,4,13,26,36,,,,,,,,,
Class,JSONProcessor.JSONProcessor,4,3,0,0,4,3,34,0,,,,,,,,,
