Kind,Name,MaxCyclomatic,CountLineComment,CountLineCode
Class,"AccessGatewayFilter.AccessGatewayFilter",4,26,33
Function,"AccessGatewayFilter.AccessGatewayFilter.__init__",,2,3
Function,"AccessGatewayFilter.AccessGatewayFilter.filter",,7,8
Function,"AccessGatewayFilter.AccessGatewayFilter.get_jwt_user",,6,12
Function,"AccessGatewayFilter.AccessGatewayFilter.is_start_with",,5,6
Function,"AccessGatewayFilter.AccessGatewayFilter.set_current_user_info_and_log",,6,3
Module File,"AccessGatewayFilter.py",4,28,36
Class,"AvgPartition.AvgPartition",2,10,17
Function,"AvgPartition.AvgPartition.__init__",,2,5
Function,"AvgPartition.AvgPartition.get",,5,7
Function,"AvgPartition.AvgPartition.setNum",,3,4
Module File,"AvgPartition.py",2,14,21
Class,"BalancedBrackets.BalancedBrackets",5,8,15
Function,"BalancedBrackets.BalancedBrackets.__init__",,1,2
Function,"BalancedBrackets.BalancedBrackets.check_balanced_brackets",,6,10
Function,"BalancedBrackets.BalancedBrackets.clear_expr",,1,2
Module File,"BalancedBrackets.py",5,18,22
Class,"BankAccount.BankAccount",3,22,25
Function,"BankAccount.BankAccount.__init__",,2,2
Function,"BankAccount.BankAccount.deposit",,5,5
Function,"BankAccount.BankAccount.transfer",,6,8
Function,"BankAccount.BankAccount.view_balance",,2,2
Function,"BankAccount.BankAccount.withdraw",,7,7
Module File,"BankAccount.py",3,35,37
Class,"BigNumCalculator.BigNumCalculator",2,16,13
Function,"BigNumCalculator.BigNumCalculator.add",,5,2
Function,"BigNumCalculator.BigNumCalculator.multiply",,5,2
Function,"BigNumCalculator.BigNumCalculator.subtract",,6,5
Module File,"BigNumCalculator.py",2,18,16
Class,"BookManagement.BookManagement",5,12,25
Function,"BookManagement.BookManagement.__init__",,1,2
Function,"BookManagement.BookManagement.add_book",,4,8
Function,"BookManagement.BookManagement.remove_book",,5,10
Function,"BookManagement.BookManagement.view_book_quantity",,1,2
Function,"BookManagement.BookManagement.view_inventory",,1,2
Module File,"BookManagement.py",5,12,25
Class,"ComplexCalculator.ComplexCalculator",2,31,34
Function,"ComplexCalculator.ComplexCalculator.__init__",,1,2
Function,"ComplexCalculator.ComplexCalculator.add",,7,6
Function,"ComplexCalculator.ComplexCalculator.divide",,9,9
Function,"ComplexCalculator.ComplexCalculator.multiply",,7,6
Function,"ComplexCalculator.ComplexCalculator.subtract",,7,6
Module File,"ComplexCalculator.py",2,33,41
