Kind,Name,MaxCyclomatic,CountLine,CountLineComment
Class,"AccessGatewayFilter.AccessGatewayFilter",3,34,6
Function,"AccessGatewayFilter.AccessGatewayFilter.__init__",,2,0
Function,"AccessGatewayFilter.AccessGatewayFilter.filter",,7,2
Function,"AccessGatewayFilter.AccessGatewayFilter.get_jwt_user",,8,1
Function,"AccessGatewayFilter.AccessGatewayFilter.is_start_with",,7,1
Function,"AccessGatewayFilter.AccessGatewayFilter.set_current_user_info_and_log",,5,2
Module File,"AccessGatewayFilter.py",3,38,6
Class,"ArgumentParser.ArgumentParser",8,66,0
Function,"ArgumentParser.ArgumentParser.__init__",,4,0
Function,"ArgumentParser.ArgumentParser._convert_type",,17,0
Function,"ArgumentParser.ArgumentParser.add_argument",,4,0
Function,"ArgumentParser.ArgumentParser.get_argument",,2,0
Function,"ArgumentParser.ArgumentParser.parse_arguments",,34,0
Module File,"ArgumentParser.py",8,66,0
Class,"AssessmentSystem.AssessmentSystem",4,55,7
Function,"AssessmentSystem.AssessmentSystem.__init__",,3,1
Function,"AssessmentSystem.AssessmentSystem.add_course_score",,4,1
Function,"AssessmentSystem.AssessmentSystem.add_student",,3,1
Function,"AssessmentSystem.AssessmentSystem.get_all_students_with_fail_course",,9,1
Function,"AssessmentSystem.AssessmentSystem.get_course_average",,12,1
Function,"AssessmentSystem.AssessmentSystem.get_gpa",,7,1
Function,"AssessmentSystem.AssessmentSystem.get_top_student",,10,1
Module File,"AssessmentSystem.py",4,55,7
Class,"AutomaticGuitarSimulator.AutomaticGuitarSimulator",6,61,28
Function,"AutomaticGuitarSimulator.AutomaticGuitarSimulator.__init__",,8,5
Function,"AutomaticGuitarSimulator.AutomaticGuitarSimulator.display",,13,9
Function,"AutomaticGuitarSimulator.AutomaticGuitarSimulator.interpret",,37,14
Module File,"AutomaticGuitarSimulator.py",6,61,28
Class,"BankAccount.BankAccount",3,34,5
Function,"BankAccount.BankAccount.__init__",,3,1
Function,"BankAccount.BankAccount.deposit",,6,1
Function,"BankAccount.BankAccount.transfer",,9,1
Function,"BankAccount.BankAccount.view_balance",,3,1
Function,"BankAccount.BankAccount.withdraw",,8,1
Module File,"BankAccount.py",3,34,5
Class,"BlackjackGame.BlackjackGame",7,50,8
Function,"BlackjackGame.BlackjackGame.__init__",,5,1
Function,"BlackjackGame.BlackjackGame.calculate_hand_value",,11,2
Function,"BlackjackGame.BlackjackGame.check_winner",,23,4
Function,"BlackjackGame.BlackjackGame.create_deck",,7,1
Module File,"BlackjackGame.py",7,52,8
Class,"BookManagement.BookManagement",4,37,6
Function,"BookManagement.BookManagement.__init__",,3,1
Function,"BookManagement.BookManagement.add_book",,8,2
Function,"BookManagement.BookManagement.remove_book",,12,1
Function,"BookManagement.BookManagement.view_book_quantity",,6,1
Function,"BookManagement.BookManagement.view_inventory",,3,1
Module File,"BookManagement.py",4,37,6
Class,"BookManagementDB.BookManagementDB",1,32,0
Function,"BookManagementDB.BookManagementDB.__init__",,4,0
Function,"BookManagementDB.BookManagementDB.add_book",,3,0
Function,"BookManagementDB.BookManagementDB.borrow_book",,3,0
Function,"BookManagementDB.BookManagementDB.create_table",,6,0
Function,"BookManagementDB.BookManagementDB.remove_book",,3,0
Function,"BookManagementDB.BookManagementDB.return_book",,3,0
Function,"BookManagementDB.BookManagementDB.search_books",,3,0
Module File,"BookManagementDB.py",1,34,0
Class,"BoyerMooreSearch.BoyerMooreSearch",4,34,0
Function,"BoyerMooreSearch.BoyerMooreSearch.__init__",,5,0
Function,"BoyerMooreSearch.BoyerMooreSearch.bad_character_heuristic",,15,0
Function,"BoyerMooreSearch.BoyerMooreSearch.match_in_pattern",,5,0
Function,"BoyerMooreSearch.BoyerMooreSearch.mismatch_in_text",,5,0
Module File,"BoyerMooreSearch.py",4,34,0
