Kind,Name,MaxCyclomatic,RatioCommentToCode,CountClassCoupled,CountDeclMethod,CountLineBlank,CountLineCode,CountLineComment,MaxNesting
Class,"AccessGatewayFilter.AccessGatewayFilter",3,0.25,0,5,4,24,6,2
Class,"AccessGatewayFilter.AccessGatewayFilter",3,0.67,4,5,4,24,16,2
Class,"AccessGatewayFilter.AccessGatewayFilter",4,1.09,0,5,13,33,36,2
Function,"AccessGatewayFilter.AccessGatewayFilter.__init__",,0.00,,,0,2,0,0
Function,"AccessGatewayFilter.AccessGatewayFilter.__init__",,0.50,,,0,2,1,0
Function,"AccessGatewayFilter.AccessGatewayFilter.__init__",,0.50,,,0,2,1,0
Function,"AccessGatewayFilter.AccessGatewayFilter.filter",,0.40,,,0,5,2,1
Function,"AccessGatewayFilter.AccessGatewayFilter.filter",,0.80,,,0,5,4,2
Function,"AccessGatewayFilter.AccessGatewayFilter.filter",,1.00,,,3,8,8,1
Function,"AccessGatewayFilter.AccessGatewayFilter.get_jwt_user",,0.14,,,0,7,1,1
Function,"AccessGatewayFilter.AccessGatewayFilter.get_jwt_user",,0.67,,,0,6,4,1
Function,"AccessGatewayFilter.AccessGatewayFilter.get_jwt_user",,0.77,,,2,13,10,1
Function,"AccessGatewayFilter.AccessGatewayFilter.is_start_with",,0.17,,,0,6,1,2
Function,"AccessGatewayFilter.AccessGatewayFilter.is_start_with",,0.67,,,0,6,4,2
Function,"AccessGatewayFilter.AccessGatewayFilter.is_start_with",,1.17,,,2,6,7,2
Function,"AccessGatewayFilter.AccessGatewayFilter.set_current_user_info_and_log",,0.67,,,0,3,2,0
Function,"AccessGatewayFilter.AccessGatewayFilter.set_current_user_info_and_log",,0.75,,,0,4,3,0
Function,"AccessGatewayFilter.AccessGatewayFilter.set_current_user_info_and_log",,2.33,,,1,3,7,0
Module File,"AccessGatewayFilter.py",3,0.22,,,5,27,6,2
Module File,"AccessGatewayFilter.py",3,0.62,,,5,26,16,2
Module File,"AccessGatewayFilter.py",4,1.03,,,14,36,37,2
Class,"AreaCalculator.AreaCalculator",1,0.92,0,6,5,13,12,0
Function,"AreaCalculator.AreaCalculator.__init__",,0.50,,,0,2,1,0
Function,"AreaCalculator.AreaCalculator.calculate_annulus_area",,0.50,,,0,2,1,0
Function,"AreaCalculator.AreaCalculator.calculate_circle_area",,0.50,,,0,2,1,0
Function,"AreaCalculator.AreaCalculator.calculate_cylinder_area",,0.50,,,0,2,1,0
Function,"AreaCalculator.AreaCalculator.calculate_sector_area",,0.50,,,0,2,1,0
Function,"AreaCalculator.AreaCalculator.calculate_sphere_area",,0.50,,,0,2,1,0
Module File,"AreaCalculator.py",1,0.93,,,6,14,13,0
Class,"ArgumentParser.ArgumentParser",8,0.00,6,5,7,59,0,3
Class,"ArgumentParser.ArgumentParser",6,0.44,5,5,12,45,20,3
Class,"ArgumentParser.ArgumentParser",8,0.60,6,5,12,50,30,3
Class,"ArgumentParser.ArgumentParser",5,0.45,5,5,8,33,15,3
Function,"ArgumentParser.ArgumentParser.__init__",,0.00,,,0,4,0,0
Function,"ArgumentParser.ArgumentParser.__init__",,0.25,,,0,4,1,0
Function,"ArgumentParser.ArgumentParser.__init__",,1.50,,,0,4,6,0
Function,"ArgumentParser.ArgumentParser.__init__",,0.25,,,0,4,1,0
Function,"ArgumentParser.ArgumentParser._convert_type",,0.00,,,0,17,0,2
Function,"ArgumentParser.ArgumentParser._convert_type",,0.23,,,1,13,3,2
Function,"ArgumentParser.ArgumentParser._convert_type",,0.17,,,2,18,3,2
Function,"ArgumentParser.ArgumentParser._convert_type",,0.40,,,0,5,2,1
Function,"ArgumentParser.ArgumentParser.add_argument",,0.00,,,0,4,0,1
Function,"ArgumentParser.ArgumentParser.add_argument",,0.50,,,1,4,2,1
Function,"ArgumentParser.ArgumentParser.add_argument",,0.50,,,1,4,2,1
Function,"ArgumentParser.ArgumentParser.add_argument",,0.50,,,1,4,2,1
Function,"ArgumentParser.ArgumentParser.get_argument",,0.00,,,0,2,0,0
Function,"ArgumentParser.ArgumentParser.get_argument",,0.50,,,0,2,1,0
Function,"ArgumentParser.ArgumentParser.get_argument",,0.50,,,0,2,1,0
