Class,AccessGatewayFilter.AccessGatewayFilter,3,0.25,0,5,4,24,6,2,,MaxCyclomatic,MaxNesting,RatioCommentToCode,CountClassCoupled,CountDeclMethod,CountLineBlank,CountLineCode,CountLineComment
Class,AccessGatewayFilter.AccessGatewayFilter,3,0.67,4,5,4,24,16,2,,3,0.43,1,5,5,31,12,2
Class,AccessGatewayFilter.AccessGatewayFilter,4,1.09,0,5,13,33,36,2,,,,,,,,,
Class,AreaCalculator.AreaCalculator,1,0.92,0,6,5,13,12,0,,,,,,,,,
Class,ArgumentParser.ArgumentParser,8,0,6,5,7,59,0,3,,,,,,,,,
Class,ArgumentParser.ArgumentParser,6,0.44,5,5,12,45,20,3,,,,,,,,,
Class,ArgumentParser.ArgumentParser,8,0.6,6,5,12,50,30,3,,,,,,,,,
Class,ArgumentParser.ArgumentParser,5,0.45,5,5,8,33,15,3,,,,,,,,,
Class,ArrangementCalculator.ArrangementCalculator,2,0.3,3,6,5,27,8,1,,,,,,,,,
Class,AssessmentSystem.AssessmentSystem,4,0.17,0,7,6,42,7,3,,,,,,,,,
Class,AssessmentSystem.AssessmentSystem,4,0.17,0,7,6,42,7,3,,,,,,,,,
Class,AssessmentSystem.AssessmentSystem,4,1.5,0,7,7,40,60,3,,,,,,,,,
Class,AssessmentSystem.AssessmentSystem,4,0.67,1,7,6,48,32,3,,,,,,,,,
Class,AutomaticGuitarSimulator.AutomaticGuitarSimulator,6,1.33,0,3,12,21,28,3,,,,,,,,,
Class,AutomaticGuitarSimulator.AutomaticGuitarSimulator,6,1.48,0,3,12,21,31,3,,,,,,,,,
Class,AutomaticGuitarSimulator.AutomaticGuitarSimulator,6,1.23,0,3,10,22,27,3,,,,,,,,,
Class,AutomaticGuitarSimulator.AutomaticGuitarSimulator,6,0.81,2,3,11,26,21,2,,,,,,,,,
Class,BankAccount.BankAccount,3,0.2,1,5,4,25,5,1,,,,,,,,,
Class,BankAccount.BankAccount,3,1.71,1,5,14,24,41,1,,,,,,,,,
Class,BinaryDataProcessor.BinaryDataProcessor,3,0.41,2,5,10,32,13,2,,,,,,,,,
Class,BitStatusUtil.BitStatusUtil,4,0.5,1,4,4,20,10,2,,,,,,,,,
Class,BitStatusUtil.BitStatusUtil,3,0.36,1,4,7,22,8,1,,,,,,,,,
Class,BlackjackGame.BlackjackGame,7,0.21,0,4,5,38,8,2,,,,,,,,,
Class,BlackjackGame.BlackjackGame,5,0.27,0,4,3,33,9,1,,,,,,,,,
Class,BlackjackGame.BlackjackGame,7,1.17,1,4,12,46,54,2,,,,,,,,,
Class,BlackjackGame.BlackjackGame,8,0.43,1,4,11,49,21,3,,,,,,,,,
Class,BookManagement.BookManagement,4,0.22,1,5,4,27,6,3,,,,,,,,,
Class,BookManagement.BookManagement,4,0.74,1,5,4,27,20,3,,,,,,,,,
Class,BookManagement.BookManagement,4,1.92,2,5,5,26,50,3,,,,,,,,,
Class,BookManagementDB.BookManagementDB,1,0,0,7,6,26,0,0,,,,,,,,,
Class,BookManagementDB.BookManagementDB,1,0.41,0,7,7,54,22,0,,,,,,,,,
Class,BoyerMooreSearch.BoyerMooreSearch,4,0,1,4,3,31,0,3,,,,,,,,,
Class,BoyerMooreSearch.BoyerMooreSearch,4,0,1,4,3,32,0,3,,,,,,,,,
Class,BoyerMooreSearch.BoyerMooreSearch,4,1.28,1,4,4,32,41,3,,,,,,,,,
Class,BoyerMooreSearch.BoyerMooreSearch,3,0.48,1,4,3,27,13,2,,,,,,,,,
Class,CSVProcessor.CSVProcessor,2,0,1,4,3,30,0,2,,,,,,,,,
Class,CSVProcessor.CSVProcessor,3,0,3,4,3,35,0,3,,,,,,,,,
Class,CSVProcessor.CSVProcessor,3,1.24,3,4,4,34,42,2,,,,,,,,,
Class,CSVProcessor.CSVProcessor,4,0.77,4,4,9,35,27,2,,,,,,,,,
Class,Calculator.Calculator,6,0,1,4,3,43,0,3,,,,,,,,,
Class,Calculator.Calculator,8,0,1,4,3,51,0,3,,,,,,,,,
Class,Calculator.Calculator,6,0.78,1,5,15,54,42,3,,,,,,,,,
Class,Calculator.Calculator,7,0.2,1,5,8,56,11,3,,,,,,,,,
Class,CalendarUtil.CalendarUtil,5,0,1,7,6,29,0,3,,,,,,,,,
Class,CalendarUtil.CalendarUtil,4,0,1,7,6,28,0,3,,,,,,,,,
Class,CalendarUtil.CalendarUtil,3,0.33,2,7,9,30,10,2,,,,,,,,,
Class,CalendarUtil.CalendarUtil,3,0.45,2,7,6,29,13,2,,,,,,,,,
Class,CamelCaseMap.CamelCaseMap,1,0,0,8,7,19,0,0,,,,,,,,,
Class,CamelCaseMap.CamelCaseMap,1,0,0,8,7,19,0,0,,,,,,,,,
Class,CamelCaseMap.CamelCaseMap,1,3.95,0,8,8,20,79,0,,,,,,,,,
Class,CamelCaseMap.CamelCaseMap,1,0.45,0,8,7,20,9,0,,,,,,,,,
Class,ChandrasekharSieve.ChandrasekharSieve,4,0.5,2,3,2,12,6,3,,,,,,,,,
Class,Chat.Chat,2,0,1,5,4,38,0,1,,,,,,,,,
Class,Chat.Chat,2,0,1,5,4,24,0,1,,,,,,,,,
Class,Chat.Chat,2,1.41,0,5,5,32,45,1,,,,,,,,,
Class,Chat.Chat,3,0.35,1,5,4,37,13,2,,,,,,,,,
Class,ClassRegistrationSystem.ClassRegistrationSystem,3,0,2,6,5,28,0,1,,,,,,,,,
Class,ClassRegistrationSystem.ClassRegistrationSystem,3,0,2,6,5,28,0,1,,,,,,,,,
Class,ClassRegistrationSystem.ClassRegistrationSystem,5,1.27,2,6,6,41,52,3,,,,,,,,,
Class,ClassRegistrationSystem.ClassRegistrationSystem,5,0.47,2,6,5,36,17,3,,,,,,,,,
Class,ClassRegistrationSystem.Classroom,2,0.65,0,5,4,17,11,1,,,,,,,,,
Class,Classroom.Classroom,3,0,1,5,4,27,0,2,,,,,,,,,
Class,Classroom.Classroom,3,0,1,5,4,27,0,2,,,,,,,,,
Class,Classroom.Classroom,3,1.9,2,6,13,31,59,2,,,,,,,,,
Class,CombinationCalculator.CombinationCalculator,3,0,4,6,5,30,0,1,,,,,,,,,
