Question Source,Question ID,Original Code,Prompt Version,Output Code,BLEU-3,CodeBLEU,Rouge 1-r,Rouge 1-p,Rouge 1-f,Rouge 2-r,Rouge 2-p,Rouge 2-f,Rouge L-r,Rouge L-p,Rouge L-f
Llama,0,"import logging
import datetime


class AccessGatewayFilter:

    def __init__(self):
        pass

    def filter(self, request):
        request_uri = request['path']
        method = request['method']

        if self.is_start_with(request_uri):
            return True

        try:
            token = self.get_jwt_user(request)
            user = token['user']
            if user['level'] > 2:
                self.set_current_user_info_and_log(user)
                return True
        except:
            return False

    def is_start_with(self, request_uri):
        start_with = [""/api"", '/login']
        for s in start_with:
            if request_uri.startswith(s):
                return True
        return False

    def get_jwt_user(self, request):
        token = request['headers']['Authorization']
        user = token['user']
        if token['jwt'].startswith(user['name']):
            jwt_str_date = token['jwt'].split(user['name'])[1]
            jwt_date = datetime.datetime.strptime(jwt_str_date, ""%Y-%m-%d"")
            if datetime.datetime.today() - jwt_date >= datetime.timedelta(days=3):
                return None
        return token

    def set_current_user_info_and_log(self, user):
        host = user['address']
        logging.log(msg=user['name'] + host + str(datetime.datetime.now()), level=1)",COT,"

```python
import logging
from datetime import datetime

class AccessGatewayFilter:
    def __init__(self):
        # Initialize the logger
        self.logger = logging.getLogger(__name__)

    def filter(self, request: dict) -> bool:
        # Check if the request path starts with '/api' or '/login'
        if self.is_start_with(request.get('path', '')):
            # If the request path starts with '/api' or '/login', check if the request method is 'POST' or 'GET'
            if request.get('method', '') in ['POST', 'GET']:
                # If the request method is 'POST' or 'GET', return True
                return True
        # If none of the above conditions are met, return False
        return False

    def is_start_with(self, request_uri: str) -> bool:
        # Define the prefixes to check
        prefixes = ['/api', '/login']
        # Check if the request URI starts with any of the prefixes
        for prefix in prefixes:
            if request_uri.startswith(prefix):
                # If the request URI starts with any of the prefixes, return True
                return True
        # If none of the prefixes match, return False
        return False

    def get_jwt_user(self, request: dict) -> dict:
        # Get the JWT token from the request headers
        jwt_token = request.get('headers', {}).get('Authorization', {}).get('jwt')
        # Get the user information from the JWT token
        user_info = request.get('headers', {}).get('Authorization', {}).get('user')
        # If the JWT token is valid, return the user information
        if jwt_token and user_info:
            return user_info
        # If the JWT token is not valid, return None
        return None

    def set_current_user_info_and_log(self, user: dict) -> None:
        # Set the current user information
        self.current_user = user
        # Log the access
        self.logger.info(f'User {user.get(""name"")} accessed from {user.get(""address"")}')
        # Log the access with timestamp
        self.logger.info(f'Access logged at {datetime.now()}')
```",0.040816326530612235,0.06029250340453597,0.390625,0.22321428571428573,0.28409090446281,0.18,0.09782608695652174,0.12676055881769507,0.375,0.21428571428571427,0.2727272680991736
Llama,10,"class BinaryDataProcessor:
    def __init__(self, binary_string):
        self.binary_string = binary_string
        self.clean_non_binary_chars()

    def clean_non_binary_chars(self):
        self.binary_string = ''.join(filter(lambda x: x in '01', self.binary_string))

    def calculate_binary_info(self):
        zeroes_count = self.binary_string.count('0')
        ones_count = self.binary_string.count('1')
        total_length = len(self.binary_string)

        zeroes_percentage = (zeroes_count / total_length)
        ones_percentage = (ones_count / total_length)

        return {
            'Zeroes': zeroes_percentage,
            'Ones': ones_percentage,
            'Bit length': total_length
        }

    def convert_to_ascii(self):
        byte_array = bytearray()
        for i in range(0, len(self.binary_string), 8):
            byte = self.binary_string[i:i+8]
            decimal = int(byte, 2)
            byte_array.append(decimal)

        return byte_array.decode('ascii')

    def convert_to_utf8(self):
        byte_array = bytearray()
        for i in range(0, len(self.binary_string), 8):
            byte = self.binary_string[i:i+8]
            decimal = int(byte, 2)
            byte_array.append(decimal)

        return byte_array.decode('utf-8')",COT,"

```python
class BinaryDataProcessor:
    def __init__(self, binary_string):
        """"""
        Initialize the class with a binary string and clean it by removing all non 0 or 1 characters.
        
        Args:
            binary_string (str): The binary string to be processed.
        """"""
        self.binary_string = binary_string
        self.clean_non_binary_chars()

    def clean_non_binary_chars(self):
        """"""
        Clean the binary string by removing all non 0 or 1 characters.
        """"""
        self.binary_string = ''.join(filter(lambda x: x in '01', self.binary_string))

    def calculate_binary_info(self):
        """"""
        Calculate the binary string information, including the percentage of 0 and 1, and the total length of the binary string.
        
        Returns:
            dict: A dictionary containing the percentage of 0 and 1, and the total length of the binary string.
        """"""
        zero_count = self.binary_string.count('0')
        one_count = self.binary_string.count('1')
        total_length = len(self.binary_string)
        
        zero_percentage = zero_count / total_length if total_length > 0 else 0
        one_percentage = one_count / total_length if total_length > 0 else 0
        
        return {'Zeroes': zero_percentage, 'Ones': one_percentage, 'Bit length': total_length}

    def convert_to_ascii(self):
        """"""
        Convert the binary string to ascii string.
        
        Returns:
            str: The ascii string converted from the binary string.
        """"""
        ascii_string = ''
        for i in range(0, len(self.binary_string), 8):
            byte = self.binary_string[i:i+8]
            ascii_string += chr(int(byte, 2))
        return ascii_string

    def convert_to_utf8(self):
        """"""
        Convert the binary string to utf-8 string.
        
        Returns:
            str: The utf-8 string converted from the binary string.
        """"""
        utf8_string = ''
        for i in range(0, len(self.binary_string), 8):
            byte = self.binary_string[i:i+8]
            utf8_string += chr(int(byte, 2))
        return utf8_string
```",0.14414414414414414,0.17312259734260932,0.6491228070175439,0.37373737373737376,0.4743589697214005,0.49382716049382713,0.25316455696202533,0.3347280289917894,0.6491228070175439,0.37373737373737376,0.4743589697214005
Llama,11,"class BitStatusUtil:
    @staticmethod
    def add(states, stat):
        BitStatusUtil.check([states, stat])
        return states | stat

    @staticmethod
    def has(states, stat):
        BitStatusUtil.check([states, stat])
        return (states & stat) == stat

    @staticmethod
    def remove(states, stat):
        BitStatusUtil.check([states, stat])
        if BitStatusUtil.has(states, stat):
            return states ^ stat
        return states

    @staticmethod
    def check(args):
        for arg in args:
            if arg < 0:
                raise ValueError(f""{arg} must be greater than or equal to 0"")
            if arg % 2 != 0:
                raise ValueError(f""{arg} not even"")",COT,"

```python
class BitStatusUtil:
    @staticmethod
    def add(states, stat):
        # Check if parameters are legal
        BitStatusUtil.check([states, stat])
        
        # Add the status to the current status using bitwise OR operation
        return states | stat

    @staticmethod
    def has(states, stat):
        # Check if parameters are legal
        BitStatusUtil.check([states, stat])
        
        # Check if the current status contains the specified status using bitwise AND operation
        return (states & stat) == stat

    @staticmethod
    def remove(states, stat):
        # Check if parameters are legal
        BitStatusUtil.check([states, stat])
        
        # Remove the specified status from the current status using bitwise AND and NOT operations
        return states & ~stat

    @staticmethod
    def check(args):
        # Check if all parameters are greater than or equal to 0 and even
        for arg in args:
            if arg < 0:
                raise ValueError(f""{arg} not greater than or equal to 0"")
            if arg % 2 != 0:
                raise ValueError(f""{arg} not even"")
```",0.29927007299270075,0.3356719883545738,0.9302325581395349,0.5970149253731343,0.7272727225107439,0.75,0.46153846153846156,0.5714285667120181,0.9302325581395349,0.5970149253731343,0.7272727225107439
Llama,12,"import random


class BlackjackGame:
    def __init__(self):
        self.deck = self.create_deck()
        self.player_hand = []
        self.dealer_hand = []

    def create_deck(self):
        deck = []
        suits = ['S', 'C', 'D', 'H']
        ranks = ['A', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'J', 'Q', 'K']
        for suit in suits:
            for rank in ranks:
                deck.append(rank + suit)
        random.shuffle(deck)
        return deck

    def calculate_hand_value(self, hand):
        value = 0
        num_aces = 0
        for card in hand:
            rank = card[:-1]
            if rank.isdigit():
                value += int(rank)
            elif rank in ['J', 'Q', 'K']:
                value += 10
            elif rank == 'A':
                value += 11
                num_aces += 1
        while value > 21 and num_aces > 0:
            value -= 10
            num_aces -= 1
        return value

    def check_winner(self, player_hand, dealer_hand):
        player_value = self.calculate_hand_value(player_hand)
        dealer_value = self.calculate_hand_value(dealer_hand)
        if player_value > 21 and dealer_value > 21:
            if player_value <= dealer_value:
                return 'Player wins'
            else:
                return 'Dealer wins'
        elif player_value > 21:
            return 'Dealer wins'
        elif dealer_value > 21:
            return 'Player wins'
        else:
            if player_value <= dealer_value:
                return 'Dealer wins'
            else:
                return 'Player wins'",COT,"

```python
class BlackjackGame:
    def __init__(self):
        # Initialize the Blackjack Game with the attribute deck, player_hand and dealer_hand
        self.deck = self.create_deck()
        self.player_hand = []
        self.dealer_hand = []

    def create_deck(self):
        # Create a deck of 52 cards, which stores 52 random order poker with the Jokers removed
        suits = ['S', 'H', 'C', 'D']
        ranks = ['A', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'J', 'Q', 'K']
        deck = [rank + suit for suit in suits for rank in ranks]
        # Shuffle the deck to ensure randomness
        import random
        random.shuffle(deck)
        return deck

    def calculate_hand_value(self, hand):
        # Calculate the value of the poker cards stored in the hand list according to the rules of the Blackjack Game
        values = {'2': 2, '3': 3, '4': 4, '5': 5, '6': 6, '7': 7, '8': 8, '9': 9, '10': 10, 'J': 10, 'Q': 10, 'K': 10, 'A': 11}
        total_value = sum([values[card[0]] for card in hand])
        # Adjust the value of Aces if the total hand value exceeds 21
        num_aces = sum([1 for card in hand if card[0] == 'A'])
        while total_value > 21 and num_aces:
            total_value -= 10
            num_aces -= 1
        return total_value

    def check_winner(self, player_hand, dealer_hand):
        # Determine the winner of a game by comparing the hand values of the player and dealer
        player_value = self.calculate_hand_value(player_hand)
        dealer_value = self.calculate_hand_value(dealer_hand)
        # Check if either player has busted
        if player_value > 21:
            return 'Dealer wins'
        elif dealer_value > 21:
            return 'Player wins'
        # Compare the hand values to determine the winner
        elif player_value > dealer_value:
            return 'Player wins'
        elif player_value < dealer_value:
            return 'Dealer wins'
        else:
            # If the hand values are equal, the result is a push (tie)
            return 'Push'
```",0.22627737226277375,0.26032393575513935,0.7976190476190477,0.42138364779874216,0.5514403246944065,0.5357142857142857,0.2964426877470356,0.3816793847263499,0.7857142857142857,0.41509433962264153,0.5432098720195093
Llama,13,"class BookManagement:
    def __init__(self):
        self.inventory = {}

    def add_book(self, title, quantity=1):
        if title in self.inventory:
            self.inventory[title] += quantity
        else:
            self.inventory[title] = quantity

    def remove_book(self, title, quantity):
        if title not in self.inventory or self.inventory[title] < quantity:
            raise False
        self.inventory[title] -= quantity
        if self.inventory[title] == 0:
            del (self.inventory[title])

    def view_inventory(self):
        return self.inventory

    def view_book_quantity(self, title):
        if title not in self.inventory:
            return 0
        return self.inventory[title]",COT,"

```python
class BookManagement:
    # Constructor to initialize the inventory
    def __init__(self):
        # Initialize an empty dictionary to store the inventory
        self.inventory = {}

    # Method to add one or several books to the inventory
    def add_book(self, title, quantity=1):
        # Check if the title already exists in the inventory
        if title in self.inventory:
            # If it exists, increment the quantity
            self.inventory[title] += quantity
        else:
            # If it does not exist, add it to the inventory with the given quantity
            self.inventory[title] = quantity
        # Sort the inventory by title
        self.inventory = dict(sorted(self.inventory.items()))

    # Method to remove one or several books from the inventory
    def remove_book(self, title, quantity):
        # Check if the title exists in the inventory
        if title in self.inventory:
            # Check if the quantity to remove is less than or equal to the available quantity
            if quantity <= self.inventory[title]:
                # If it is, decrement the quantity
                self.inventory[title] -= quantity
                # If the quantity reaches zero, remove the book from the inventory
                if self.inventory[title] == 0:
                    del self.inventory[title]
                return True
            else:
                # If the quantity to remove is more than the available quantity, return False
                return False
        else:
            # If the title does not exist in the inventory, return False
            return False

    # Method to get the inventory of the Book Management
    def view_inventory(self):
        # Return the current inventory
        return self.inventory

    # Method to get the quantity of a book
    def view_book_quantity(self, title):
        # Check if the title exists in the inventory
        if title in self.inventory:
            # If it exists, return the quantity
            return self.inventory[title]
        else:
            # If it does not exist, return 0
            return 0
```",0.0608365019011407,0.07973795761659028,0.868421052631579,0.3626373626373626,0.511627902820744,0.603448275862069,0.2023121387283237,0.3030302992695039,0.868421052631579,0.3626373626373626,0.511627902820744
Llama,14,"import sqlite3

class BookManagementDB:
    def __init__(self, db_name):
        self.connection = sqlite3.connect(db_name)
        self.cursor = self.connection.cursor()
        self.create_table()

    def create_table(self):
        self.cursor.execute('''
            CREATE TABLE IF NOT EXISTS books (
                id INTEGER PRIMARY KEY,
                title TEXT,
                author TEXT,
                available INTEGER
            )
        ''')
        self.connection.commit()

    def add_book(self, title, author):
        self.cursor.execute('''
            INSERT INTO books (title, author, available)
            VALUES (?, ?, 1)
        ''', (title, author))
        self.connection.commit()

    def remove_book(self, book_id):
        self.cursor.execute('''
            DELETE FROM books WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def borrow_book(self, book_id):
        self.cursor.execute('''
            UPDATE books SET available = 0 WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def return_book(self, book_id):
        self.cursor.execute('''
            UPDATE books SET available = 1 WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def search_books(self):
        self.cursor.execute('''
            SELECT * FROM books
        ''')
        books = self.cursor.fetchall()
        return books",COT,"

```python
import sqlite3

class BookManagementDB:
    def __init__(self, db_name):
        self.connection = sqlite3.connect(db_name)
        self.cursor = self.connection.cursor()
        self.create_table()

    def create_table(self):
        self.cursor.execute('''
            CREATE TABLE IF NOT EXISTS books
            (id INTEGER PRIMARY KEY AUTOINCREMENT, title TEXT, author TEXT, available INTEGER)
        ''')
        self.connection.commit()

    def add_book(self, title, author):
        self.cursor.execute('''
            INSERT INTO books (title, author, available)
            VALUES (?, ?, 1)
        ''', (title, author))
        self.connection.commit()

    def remove_book(self, book_id):
        self.cursor.execute('''
            DELETE FROM books
            WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def borrow_book(self, book_id):
        self.cursor.execute('''
            UPDATE books
            SET available = 0
            WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def return_book(self, book_id):
        self.cursor.execute('''
            UPDATE books
            SET available = 1
            WHERE id = ?
        ''', (book_id,))
        self.connection.commit()

    def search_books(self):
        self.cursor.execute('''
            SELECT * FROM books
        ''')
        return self.cursor.fetchall()
```",0.861001292903393,0.8800651034758359,0.9545454545454546,0.9130434782608695,0.9333333283358024,0.8787878787878788,0.8877551020408163,0.8832487259645959,0.9393939393939394,0.8985507246376812,0.9185185135209877
Llama,15,"class BoyerMooreSearch:
    def __init__(self, text, pattern):
        self.text, self.pattern = text, pattern
        self.textLen, self.patLen = len(text), len(pattern)

    def match_in_pattern(self, char):
        for i in range(self.patLen - 1, -1, -1):
            if char == self.pattern[i]:
                return i
        return -1

    def mismatch_in_text(self, currentPos):
        for i in range(self.patLen - 1, -1, -1):
            if self.pattern[i] != self.text[currentPos + i]:
                return currentPos + i
        return -1

    def bad_character_heuristic(self):
        positions = []
        for i in range(self.textLen - self.patLen + 1):
            mismatch_index = self.mismatch_in_text(i)
            if mismatch_index == -1:
                positions.append(i)
            else:
                match_index = self.match_in_pattern(self.text[mismatch_index])
                i = (mismatch_index - match_index)
        return positions",COT,"

```python
class BoyerMooreSearch:
    def __init__(self, text, pattern):
        self.text = text
        self.pattern = pattern
        self.textLen = len(text)
        self.patLen = len(pattern)

    def match_in_pattern(self, char):
        for i in range(self.patLen - 1, -1, -1):
            if self.pattern[i] == char:
                return i
        return -1

    def mismatch_in_text(self, currentPos):
        for i in range(self.patLen):
            if currentPos + i >= self.textLen or self.text[currentPos + i] != self.pattern[i]:
                return currentPos + i
        return -1

    def bad_character_heuristic(self):
        positions = []
        i = 0
        while i <= self.textLen - self.patLen:
            mismatch_pos = self.mismatch_in_text(i)
            if mismatch_pos == -1:
                positions.append(i)
                i += self.patLen
            else:
                char = self.text[mismatch_pos]
                match_pos = self.match_in_pattern(char)
                if match_pos == -1:
                    i += mismatch_pos + 1
                else:
                    i += mismatch_pos - match_pos
        return positions
```",0.3153153153153153,0.3834091318921372,0.8076923076923077,0.6885245901639344,0.7433628268901246,0.632183908045977,0.49107142857142855,0.5527638141743896,0.8076923076923077,0.6885245901639344,0.7433628268901246
Llama,16,"class Calculator:
    def __init__(self):
        self.operators = {
            '+': lambda x, y: x + y,
            '-': lambda x, y: x - y,
            '*': lambda x, y: x * y,
            '/': lambda x, y: x / y,
            '^': lambda x, y: x ** y
        }

    def calculate(self, expression):
        operand_stack = []
        operator_stack = []
        num_buffer = ''

        for char in expression:
            if char.isdigit() or char == '.':
                num_buffer += char
            else:
                if num_buffer:
                    operand_stack.append(float(num_buffer))
                    num_buffer = ''

                if char in '+-*/^':
                    while (
                            operator_stack and
                            operator_stack[-1] != '(' and
                            self.precedence(operator_stack[-1]) >= self.precedence(char)
                    ):
                        operand_stack, operator_stack = self.apply_operator(operand_stack, operator_stack)

                    operator_stack.append(char)
                elif char == '(':
                    operator_stack.append(char)
                elif char == ')':
                    while operator_stack and operator_stack[-1] != '(':
                        operand_stack, operator_stack = self.apply_operator(operand_stack, operator_stack)

                    operator_stack.pop()

        if num_buffer:
            operand_stack.append(float(num_buffer))

        while operator_stack:
            operand_stack, operator_stack = self.apply_operator(operand_stack, operator_stack)

        return operand_stack[-1] if operand_stack else None

    def precedence(self, operator):
        precedences = {
            '+': 1,
            '-': 1,
            '*': 2,
            '/': 2,
            '^': 3
        }
        return precedences.get(operator, 0)

    def apply_operator(self, operand_stack, operator_stack):
        operator = operator_stack.pop()
        if operator == '^':
            operand2 = operand_stack.pop()
            operand1 = operand_stack.pop()
            result = self.operators[operator](operand1, operand2)
            operand_stack.append(result)
        else:
            operand2 = operand_stack.pop()
            operand1 = operand_stack.pop()
            result = self.operators[operator](operand1, operand2)
            operand_stack.append(result)
        return operand_stack, operator_stack",COT,"

```python
class Calculator:
    def __init__(self):
        self.operators = {
            '+': lambda x, y: x + y,
            '-': lambda x, y: x - y,
            '*': lambda x, y: x * y,
            '/': lambda x, y: x / y,
            '^': lambda x, y: x ** y
        }

    def calculate(self, expression):
        operand_stack = []
        operator_stack = []
        i = 0
        while i < len(expression):
            if expression[i].isdigit():
                num = 0
                while i < len(expression) and expression[i].isdigit():
                    num = num * 10 + int(expression[i])
                    i += 1
                operand_stack.append(num)
            elif expression[i] in self.operators:
                while (operator_stack and 
                       self.precedence(operator_stack[-1]) >= self.precedence(expression[i])):
                    operand_stack, operator_stack = self.apply_operator(operand_stack, operator_stack)
                operator_stack.append(expression[i])
                i += 1
            elif expression[i] == ' ':
                i += 1
            else:
                return None
        while operator_stack:
            operand_stack, operator_stack = self.apply_operator(operand_stack, operator_stack)
        return operand_stack[0]

    def precedence(self, operator):
        if operator == '^':
            return 3
        elif operator in ['*', '/']:
            return 2
        elif operator in ['+', '-']:
            return 1
        else:
            return 0

    def apply_operator(self, operand_stack, operator_stack):
        if len(operand_stack) < 2 or not operator_stack:
            return None
        operand2 = operand_stack.pop()
        operand1 = operand_stack.pop()
        operator = operator_stack.pop()
        result = self.operators[operator](operand1, operand2)
        operand_stack.append(result)
        return operand_stack, operator_stack
```",0.4014050095044273,0.44297004558892317,0.7126436781609196,0.7045454545454546,0.708571423571592,0.5099337748344371,0.506578947368421,0.5082508200825628,0.7011494252873564,0.6931818181818182,0.6971428521430205
Llama,17,"from datetime import datetime, timedelta

class CalendarUtil:
    def __init__(self):
        self.events = []

    def add_event(self, event):
        self.events.append(event)

    def remove_event(self, event):
        if event in self.events:
            self.events.remove(event)

    def get_events(self, date):
        events_on_date = []
        for event in self.events:
            if event['date'].date() == date.date():
                events_on_date.append(event)
        return events_on_date

    def is_available(self, start_time, end_time):
        for event in self.events:
            if start_time < event['end_time'] and end_time > event['start_time']:
                return False
        return True

    def get_available_slots(self, date):
        available_slots = []
        start_time = datetime(date.year, date.month, date.day, 0, 0)
        end_time = datetime(date.year, date.month, date.day, 23, 59)

        while start_time < end_time:
            slot_end_time = start_time + timedelta(minutes=60)
            if self.is_available(start_time, slot_end_time):
                available_slots.append((start_time, slot_end_time))
            start_time += timedelta(minutes=60)


        return available_slots

    def get_upcoming_events(self, num_events):
        now = datetime.now()
        upcoming_events = []
        for event in self.events:
            if event['start_time'] >= now:
                upcoming_events.append(event)
            if len(upcoming_events) == num_events:
                break
        return upcoming_events",COT,"

```python
from datetime import datetime, timedelta

class CalendarUtil:
    def __init__(self):
        self.events = []

    def add_event(self, event):
        self.events.append(event)

    def get_events(self, date):
        return [event for event in self.events if event['date'].date() == date.date()]

    def remove_event(self, event):
        self.events = [e for e in self.events if e != event]

    def is_available(self, start_time, end_time):
        for event in self.events:
            if (start_time >= event['start_time'] and start_time < event['end_time']) or (end_time > event['start_time'] and end_time <= event['end_time']) or (start_time <= event['start_time'] and end_time >= event['end_time']):
                return False
        return True

    def get_available_slots(self, date):
        available_slots = []
        start_time = datetime.combine(date, datetime.min.time())
        end_time = datetime.combine(date, datetime.min.time())
        for event in sorted(self.events, key=lambda x: x['start_time']):
            if event['date'].date() == date.date():
                if start_time < event['start_time']:
                    available_slots.append((start_time, event['start_time']))
                start_time = event['end_time']
        available_slots.append((start_time, datetime.combine(date, datetime.max.time())))
        return available_slots

    def get_upcoming_events(self, num_events):
        upcoming_events = sorted(self.events, key=lambda x: x['start_time'])
        return upcoming_events[:num_events]
```",0.32558139534883723,0.3872247102509472,0.6666666666666666,0.6493506493506493,0.6578947318429711,0.475,0.4789915966386555,0.47698744269883236,0.6533333333333333,0.6363636363636364,0.644736837106129
Llama,18,"class CamelCaseMap:
    def __init__(self):
        self._data = {}

    def __getitem__(self, key):
        return self._data[self._convert_key(key)]

    def __setitem__(self, key, value):
        self._data[self._convert_key(key)] = value

    def __delitem__(self, key):
        del self._data[self._convert_key(key)]

    def __iter__(self):
        return iter(self._data)

    def __len__(self):
        return len(self._data)

    def _convert_key(self, key):
        if isinstance(key, str):
            return self._to_camel_case(key)
        return key

    @staticmethod
    def _to_camel_case(key):
        parts = key.split('_')
        return parts[0] + ''.join(part.title() for part in parts[1:])",COT,"

```python
class CamelCaseMap:
    def __init__(self):
        self._data = {}

    def __getitem__(self, key):
        return self._data[self._convert_key(key)]

    def __setitem__(self, key, value):
        self._data[self._convert_key(key)] = value

    def __delitem__(self, key):
        del self._data[self._convert_key(key)]

    def __iter__(self):
        return iter(self._data)

    def __len__(self):
        return len(self._data)

    def _convert_key(self, key):
        return CamelCaseMap._to_camel_case(key)

    @staticmethod
    def _to_camel_case(key):
        words = key.split('_')
        return words[0] + ''.join(word.capitalize() for word in words[1:])
```",0.648507736914327,0.6827567120925123,0.7906976744186046,0.7906976744186046,0.7906976694186046,0.7049180327868853,0.7413793103448276,0.72268907063343,0.7906976744186046,0.7906976744186046,0.7906976694186046
